,index,halfwid
0,-360,720
1,-359,116
2,-358,42
3,-357,26
4,-356,19
5,-355,15
6,-354,12
7,-353,10
8,-352,9
9,-351,8
10,-350,7
11,-349,7
12,-348,6
13,-347,6
14,-346,5
15,-345,5
16,-344,5
17,-343,4
18,-342,4
19,-341,4
20,-340,4
21,-339,4
22,-338,3
23,-337,3
24,-336,3
25,-335,3
26,-334,3
27,-333,3
28,-332,3
29,-331,3
30,-330,3
31,-329,3
32,-328,3
33,-327,2
34,-326,2
35,-325,2
36,-324,2
37,-323,2
38,-322,2
39,-321,2
40,-320,2
41,-319,2
42,-318,2
43,-317,2
44,-316,2
45,-315,2
46,-314,2
47,-313,2
48,-312,2
49,-311,2
50,-310,2
51,-309,2
52,-308,2
53,-307,2
54,-306,2
55,-305,2
56,-304,2
57,-303,2
58,-302,2
59,-301,2
60,-300,2
61,-299,2
62,-298,2
63,-297,2
64,-296,2
65,-295,1
66,-294,1
67,-293,1
68,-292,1
69,-291,1
70,-290,1
71,-289,1
72,-288,1
73,-287,1
74,-286,1
75,-285,1
76,-284,1
77,-283,1
78,-282,1
79,-281,1
80,-280,1
81,-279,1
82,-278,1
83,-277,1
84,-276,1
85,-275,1
86,-274,1
87,-273,1
88,-272,1
89,-271,1
90,-270,1
91,-269,1
92,-268,1
93,-267,1
94,-266,1
95,-265,1
96,-264,1
97,-263,1
98,-262,1
99,-261,1
100,-260,1
101,-259,1
102,-258,1
103,-257,1
104,-256,1
105,-255,1
106,-254,1
107,-253,1
108,-252,1
109,-251,1
110,-250,1
111,-249,1
112,-248,1
113,-247,1
114,-246,1
115,-245,1
116,-244,1
117,-243,1
118,-242,1
119,-241,1
120,-240,1
121,-239,1
122,-238,1
123,-237,1
124,-236,1
125,-235,1
126,-234,1
127,-233,1
128,-232,1
129,-231,1
130,-230,1
131,-229,1
132,-228,1
133,-227,1
134,-226,1
135,-225,1
136,-224,1
137,-223,1
138,-222,1
139,-221,1
140,-220,1
141,-219,1
142,-218,1
143,-217,1
144,-216,1
145,-215,1
146,-214,1
147,-213,1
148,-212,1
149,-211,1
150,-210,1
151,-209,1
152,-208,1
153,-207,1
154,-206,1
155,-205,1
156,-204,1
157,-203,1
158,-202,1
159,-201,1
160,-200,1
161,-199,1
162,-198,1
163,-197,1
164,-196,1
165,-195,1
166,-194,1
167,-193,1
168,-192,1
169,-191,1
170,-190,1
171,-189,1
172,-188,1
173,-187,1
174,-186,1
175,-185,1
176,-184,1
177,-183,1
178,-182,1
179,-181,1
180,-180,1
181,-179,1
182,-178,1
183,-177,1
184,-176,1
185,-175,1
186,-174,1
187,-173,1
188,-172,1
189,-171,1
190,-170,1
191,-169,1
192,-168,1
193,-167,1
194,-166,1
195,-165,1
196,-164,1
197,-163,1
198,-162,1
199,-161,1
200,-160,1
201,-159,1
202,-158,1
203,-157,1
204,-156,1
205,-155,1
206,-154,1
207,-153,1
208,-152,1
209,-151,1
210,-150,1
211,-149,1
212,-148,1
213,-147,1
214,-146,1
215,-145,1
216,-144,1
217,-143,1
218,-142,1
219,-141,1
220,-140,1
221,-139,1
222,-138,1
223,-137,1
224,-136,1
225,-135,1
226,-134,1
227,-133,1
228,-132,1
229,-131,1
230,-130,1
231,-129,1
232,-128,1
233,-127,1
234,-126,1
235,-125,1
236,-124,1
237,-123,1
238,-122,1
239,-121,1
240,-120,1
241,-119,1
242,-118,1
243,-117,1
244,-116,1
245,-115,1
246,-114,1
247,-113,1
248,-112,1
249,-111,1
250,-110,1
251,-109,1
252,-108,1
253,-107,1
254,-106,1
255,-105,1
256,-104,1
257,-103,1
258,-102,1
259,-101,1
260,-100,1
261,-99,1
262,-98,1
263,-97,1
264,-96,1
265,-95,1
266,-94,1
267,-93,1
268,-92,1
269,-91,1
270,-90,1
271,-89,1
272,-88,1
273,-87,1
274,-86,1
275,-85,1
276,-84,1
277,-83,1
278,-82,1
279,-81,1
280,-80,1
281,-79,1
282,-78,1
283,-77,1
284,-76,1
285,-75,1
286,-74,1
287,-73,1
288,-72,1
289,-71,1
290,-70,1
291,-69,1
292,-68,1
293,-67,1
294,-66,1
295,-65,1
296,-64,1
297,-63,1
298,-62,1
299,-61,1
300,-60,1
301,-59,1
302,-58,1
303,-57,1
304,-56,1
305,-55,1
306,-54,1
307,-53,1
308,-52,1
309,-51,1
310,-50,1
311,-49,1
312,-48,1
313,-47,1
314,-46,1
315,-45,1
316,-44,1
317,-43,1
318,-42,1
319,-41,1
320,-40,1
321,-39,1
322,-38,1
323,-37,1
324,-36,1
325,-35,1
326,-34,1
327,-33,1
328,-32,1
329,-31,1
330,-30,1
331,-29,1
332,-28,1
333,-27,1
334,-26,1
335,-25,1
336,-24,1
337,-23,1
338,-22,1
339,-21,1
340,-20,1
341,-19,1
342,-18,1
343,-17,1
344,-16,1
345,-15,1
346,-14,1
347,-13,1
